ID,ANIO,NUCLEO_FAMILIAR,EDAD,SEXO,ZONA,CONDUCTA_INAPROPIADA,NOTA,TIPO,SEGURO,RETRASOS,NIVEL
1162,2011,0,8,0,0,8,14.017246,0,0,26,0
1219,2011,1,11,0,1,15,13.844202,0,0,52,0
1228,2011,0,11,0,0,3,16.068985,0,0,18,0
1230,2011,1,8,1,2,11,13.69826,0,1,28,0
1253,2011,0,8,0,0,10,14.895833,0,0,87,1
1261,2011,1,7,1,3,1,17.233055,0,0,40,1
1318,2011,1,11,0,0,7,15.506086,0,0,10,0
1334,2011,2,12,0,1,23,13.906666,0,0,22,0
1405,2011,1,8,0,0,6,14.115072,0,1,48,0
1419,2011,2,11,0,4,23,13.946521,0,1,35,0
1485,2011,1,9,0,5,11,16.704864,0,1,93,0
1489,2011,2,9,0,2,0,15.75,1,1,39,0
1514,2011,1,7,1,0,3,15.612777,0,0,95,1
1532,2011,0,8,1,0,35,13.16855,0,0,15,0
1636,2011,1,15,0,2,34,13.313333,0,1,15,0
1640,2011,1,8,0,6,26,15.814166,0,0,34,1
1649,2011,0,8,1,1,11,14.320434,0,0,12,0
1716,2011,1,7,0,6,28,12.555362,0,0,8,0
1720,2011,0,7,0,4,11,17.083333,0,1,9,1
1738,2011,1,7,0,1,51,12.802608,0,0,1,0
1757,2011,0,7,0,0,27,12.875217,0,0,42,0
1826,2011,0,7,1,3,30,11.907681,0,0,1,0
1828,2011,0,7,1,7,10,13.879855,0,0,19,0
1847,2011,1,7,1,0,18,15.6984,0,0,31,0
1886,2011,1,6,0,0,4,16.141081,0,0,46,0
1942,2011,1,6,0,0,9,16.363472,0,0,13,1
2069,2011,1,7,1,3,1,18.81,0,1,25,2
2070,2011,0,6,0,8,13,15.341944,0,0,12,0
2071,2011,1,7,0,4,14,13.299605,0,0,15,0
2073,2011,1,6,0,0,2,17.257692,0,0,16,1
2074,2011,1,8,0,9,0,15.75,0,0,32,1
2080,2011,3,6,0,0,27,12.715797,0,0,3,0
2081,2011,1,6,0,0,7,15.306388,0,1,107,1
2097,2011,1,6,0,0,37,13.6636,0,0,48,0
2117,2011,3,6,1,0,30,12.375333,0,0,8,0
2122,2011,1,6,1,0,15,12.672777,0,0,8,0
2123,2011,2,5,0,3,2,18.671666,1,1,59,1
2147,2011,3,6,0,10,36,12.9668,0,1,19,0
2173,2011,2,5,0,4,11,13.189855,0,0,24,0
2212,2011,2,6,1,1,10,17.894444,0,0,14,1
2222,2011,2,6,1,3,11,13.890533,0,1,7,0
2246,2011,3,6,1,0,12,15.491014,0,0,9,0
2318,2011,3,8,0,1,2,17.620384,0,0,4,2
2341,2011,2,6,1,0,7,18.119444,0,0,29,1
2460,2011,2,5,1,0,16,15.429078,0,0,24,0
2480,2011,1,6,0,0,0,7.355942,0,0,4,0
2549,2011,2,14,0,1,18,14.33,0,0,27,0
2567,2011,2,4,0,10,10,15.276052,0,1,9,0
2595,2011,3,5,1,0,3,17.135362,0,1,5,0
2599,2011,3,5,0,0,13,14.312222,0,0,1,1
2693,2011,0,4,0,10,38,13.23671,0,0,29,0
2700,2011,3,6,1,2,2,18.418846,0,0,3,2
